Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated							
LGBTData.com	http://www.lgbtdata.com/	Website							"LGBTData.com serves as a no-cost, open-access clearinghouse for the collection of sexual orientation & gender identity data and measures.; This site also provides knowledgeable analysis, commentary and expert ""how to"" information on gathering such data effectively in scientific surveys, questionnaires and studies. Collected and categorized here you will find numerous datasets and links to rich data sources that are essential to LGBT health research, researchers, students, advocates and anyone interested in scientific-based information about LGBT people and populations.; "		No			Northern America			English	Sexuality and Gender Identity	homosexual, lesbians, lgbt or lgbti, gender nonconformity, sexual orientation, gender identity, homosexuality, gay, sexual and gender minorities	No		08/05/2025							
LGBTQ Health and Medicine Resources	https://guides.temple.edu/LGBTQ-health	LibGuide		2024				Temple University	This guide offers resources on LGBTQ health and medicine at Temple University, in Philadelphia, and available online.	Mixed	Unknown		United States of America	Northern America			English	Sexuality and Gender Identity	health, education										
LGBTQ in Africa	https://www.statista.com/study/104279/lgbtq-in-africa/	Report		2023				Statista	Homosexuality is still a taboo in African societies. As of 2020, 32 countries in Africa criminalized same-sex relations and four countries even imposed death penalty for homosexual relations. The present report provides data on the issues faced by the LGBTQ community in Africa. The first chapter gives an overview on homosexuality acceptance worldwide. Thereafter, this report focuses on intolerance in the African continent, legal status, and rights recognition.					Africa			English	Opinions and Attitudes, Criminal Justice Law and Policy											
LGBTQ+ Studies Research Guide	https://learn.library.torontomu.ca/lgbtq/stats	Website		2025			Toronto Metropolitan University Libraries	Toronto Metropolitan University Libraries	LGBTQ+ Statistics and Data	Quantitative	Yes		Canada	Northern America	Nation	Group	English	Sexuality and Gender Identity	sexual and gender minorities	No		08/05/2025							
LGBTQ+ worldwide - Statistics & Facts Statista	https://www.statista.com/topics/8579/lgbtq-worldwide/	Data Database, Website, Statistics					Statista	Statista	The website links to data on LGBTQ+ globally. LGBTQ+ stands for lesbian, gay, bisexual, transsexual/transgender, and queer. Grouping include overview, acceptance of LGBTQ+ people, legal status, coming out.	Quantitative	No		Global	All Regions			English	Sexuality and Gender Identity, Discrimination, Social Justice and Equality	same-sex, sexual orientation, lgbt or lgbti, gender identity, transgender people, nonbinary, law and legislation, criminal law, hate crimes, same-sex marriage, conversion therapy, discrimination, equality and inequality, employment, housing, education, human services, prejudice, opinions, attitudes, companies, toleration  	Yes	Can view figures but not download without subscription								
LGBTQ+ worldwide 2023 Statisa Report	https://www.statista.com/study/104242/lgbtq-worldwide/	Report		2023	2021	2023	Statista	Statista	This report provides data on LGBTQ+ globally. LGBTQ+ stands for lesbian, gay, bisexual, transsexual/transgender, and queer. This report focuses on four main topics: acceptance of LGBTQ+ people, legal status, coming out, and tourism. Acceptance of homosexuality is still low in Middle East, Africa, and Asia, while Europe, North America, and Australia are more LGBTQ+ friendly. Being homosexual is still criminalized in dozens of countries, and most of these are located, indeed, in Middle East, Africa, and Asia.	Quantitative	No		Global	All Regions			English	Discrimination, Family and Marriage, Criminal Justice, Law and Policy, Civil and Political Rights, Health and Gender Identity, Opinions and Social Attitudes	same-sex, sexual orientation, lgbt or lgbti, gender identity, transgender people, nonbinary, law and legislation, criminal law, hate crimes, same-sex marriage, conversion therapy, discrimination, equality and inequality, employment, housing, education, human services, prejudice, opinions, attitudes, companies, toleration  	Yes									
LGBTQ2+ people																													
Life on the Margins: Survey Results of the Experiences of LGBTI People in Southeastern Europe	https://hdl.handle.net/10986/30607	Report	World Bank Group. 2018. Life on the Margins: Survey Results of the Experiences of LGBTI People in Southeastern Europe. © World Bank. http://hdl.handle.net/10986/30607 License: CC BY 3.0 IGO.	2018			World Bank	World Bank	"This survey was conducted to better understand the lives of lesbian, gay, bisexual, transgender, and intersex (LGBTI) people in seven countries in Southeastern Europe: five in the Western Balkans - Albania, Bosnia and Herzegovina, Kosovo, FYR Macedonia, and Montenegro; as well as two European Union (EU) member states, Croatia and Slovenia. The research adopted and adapted a 2012 survey of LGBT people carried out by the European Union Agency for Fundamental Rights (FRA) in 27 EU countries plus Croatia (which joined the EU in 2013) (the “FRA survey”). The FRA survey set a benchmark for understanding the lives of LGBT people. In addition to the FRA survey, this current survey also gathered specific information on the lives of intersex people."	Quantitative			Croatia, Slovenia, Bosnia and Herzegovina, Montenegro, North Macedonia, Albania, Kosovo	Southern Europe			English	Sexuality and Gender Identity, Discrimination, Socio-economic-cultural, Law and Policy, Civil and Political Rights	civil rights, bisexuals, discrimination, sexual orientation, social inclusion, lgbt or lgbti, violence, gender identity										
Lifestyles and Life Circumstances of Gays,Lesbians and Bisexuals 1982-1983	http://urn.fi/urn:nbn:fi:fsd:T-FSD2798	Dataset		2013	1982	1983	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Quantitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	gender identity, lgbt or lgbti, sexual behavior, homosexuality, sexual orientation, same-sex marriage, discrimination	No		21/05/2025							
Living conditions and quality of life among homosexual men and women in Norway 1999	https://doi.org/10.18712/NSD-NSD0715-V3	Dataset	OsloMet, Henga, K., Kristiansen, H. W., & Moseng, B. U. (2023). Living conditions and quality of life among homosexual men and women in Norway, 1999 (Version 3) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.18712/NSD-NSD0715-V3	2023	1998	1998	OsloMet	Sikt– Norwegian Agency for Shared Services in Education and Research	"The NOVA report about living conditions and life quality among lesbian women and homosexual men consists of three parts: An overview over earlier Scandinavian research on this topic, a survey about attitudes towards lesbians and homosexuals in the population, and an empirical survey of living conditions and life quality among lesbians and homosexuals based on post-enquete survey (N=2987) and interviews (N=23). 38 per cent of the respondents in the post-enquete survey are women. The following three questions form the point of departure of the discussion in the main part (part III): Has lesbian women's and homosexual men's life situation improved over the last decades? Has lesbian women and homosexual men's living conditions and life quality decreased more than the general population? Which groups within the lesbian/ homosexual population has better and who has worse conditions?; This is data from the empirical survey."	Quantitative	No		Norway	Northern Europe	Nation	Individual	Norwegian	Discrimination, Opinions and Social Attitudes, Sexualitiy and Gender Identity, Family and Marriage, Health, Socio-economic-cultural	children, discrimination, violence, health, living open and daily life, sexual behavior, sexual orientation, substance abuse, attitudes, sexual and gender minorities, lesbians, homosexual, social networks	No	"On the website, the collection is named ""Sexual Orientation, Gender Diversity and Level of Living (2008 - 2020)"""	23/05/2025							
Living with AIDS : The Experience of Homosexual Men with HIV Infection Or AIDS,1988-1989	http://doi.org/10.5255/UKDA-SN-2987-1	Dataset	McCann, K., Simms, M., Wadsworth, E. (1993). Living with AIDS : The Experience of Homosexual Men with HIV Infection Or AIDS, 1988-1989. [data collection]. UK Data Service. SN: 2987, DOI: http://doi.org/10.5255/UKDA-SN-2987-1	1993	1988	1989		UK Data Archive	"The aims and objectives of this survey were to:; Describe the experience of and attitudes towards the care of people with AIDS or related conditions; describe the social context in which requirements of health care are negotiated; look at the continuity of care between hospital and community; describe balance of care between professional and lay carers; describe views and perceptions of care of patients and formal and informal carers; examine process of obtaining care; examine balance of care between hospital and community; look at social consequences of care received."	Quantitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Health	health, hiv/adis, hiv-positive persons, gay, homosexual, bisexuals, sexual behavior, sexual orientation, gay couples, healthcare, medicine	No		23/05/2025							
